shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
PURPLE2,39.50730636,-84.7384125,11,1.634
PURPLE2,39.50731257,-84.73744422,12,1.71707
PURPLE2,39.50729601,-84.73617688,13,1.82582
PURPLE2,39.5073136,-84.7353065,14,1.90051
PURPLE2,39.5072986,-84.73480493,15,1.94358
PURPLE2,39.50729084,-84.7345756,16,1.96327
PURPLE2,39.50729084,-84.73421887,17,1.99387
PURPLE2,39.50729032,-84.73372266,18,2.03644
PURPLE2,39.5072898,-84.73299243,19,2.09909
PURPLE2,39.50726135,-84.73246135,20,2.14476
PURPLE2,39.50723807,-84.73205566,21,2.17966
PURPLE2,39.50719875,-84.73132811,22,2.24224
PURPLE2,39.50716357,-84.73067433,23,2.29846
PURPLE2,39.50772025,-84.73067164,24,2.36036
PURPLE2,39.50797272,-84.72897112,25,2.50893
PURPLE2,39.50794788,-84.72778559,26,2.61067
PURPLE2,39.51024904,-84.72775877,27,2.86656
PURPLE2,39.51034009,-84.72981334,28,3.04311
PURPLE2,39.51035251,-84.73202884,29,3.23318
PURPLE2,39.51038148,-84.73357379,30,3.36576
PURPLE2,39.51041459,-84.73471642,31,3.46385
PURPLE2,39.51104781,-84.73473251,32,3.53427
PURPLE2,39.51184243,-84.73470032,33,3.62267
PURPLE2,39.51235975,-84.73471105,34,3.6802
PURPLE2,39.51309228,-84.73466814,35,3.76174
PURPLE2,39.51389929,-84.73463595,36,3.85152
PURPLE2,39.51502495,-84.73458767,37,3.97675
PURPLE2,39.51507461,-84.73606825,38,4.10388
PURPLE2,39.51670099,-84.73583758,39,4.28581
YELLOW,39.50493888,-84.75204349,1,0
YELLOW,39.50494302,-84.74943638,2,0.223676
YELLOW,39.50463673,-84.74942029,3,0.257762
YELLOW,39.50422696,-84.7493881,4,0.303409
YELLOW,39.50418868,-84.74854723,5,0.375678
YELLOW,39.50416695,-84.74792629,6,0.429006
YELLOW,39.504109,-84.74674076,7,0.530924
YELLOW,39.50407692,-84.74615201,8,0.581561
YELLOW,39.50405623,-84.74568665,9,0.621554
YELLOW,39.50388963,-84.74569336,10,0.640088
YELLOW,39.50330084,-84.74572554,11,0.705616
YELLOW,39.50286934,-84.74575102,12,0.753647
YELLOW,39.50258374,-84.74576175,13,0.785418
YELLOW,39.50192768,-84.74575907,14,0.858369
YELLOW,39.50126747,-84.74575371,15,0.931782
YELLOW,39.5006383,-84.74574834,16,1.00174
YELLOW,39.50063209,-84.74492222,17,1.07263
YELLOW,39.50061967,-84.74393651,18,1.15721
YELLOW,39.50061347,-84.74342287,19,1.20129
YELLOW,39.50060622,-84.74267587,20,1.26539
YELLOW,39.50060415,-84.7423996,21,1.28909
YELLOW,39.50058346,-84.74200666,22,1.32288
YELLOW,39.50058087,-84.74167675,23,1.35119
YELLOW,39.50057621,-84.74108197,24,1.40223
YELLOW,39.50056586,-84.74067427,25,1.43723
YELLOW,39.5005581,-84.74040136,26,1.46066
YELLOW,39.50056121,-84.73998293,27,1.49656
YELLOW,39.50056483,-84.73942503,28,1.54443
YELLOW,39.50117227,-84.73942637,29,1.61197
YELLOW,39.5017828,-84.73939687,30,1.67991
YELLOW,39.50251958,-84.73939151,31,1.76184
YELLOW,39.50376753,-84.73932981,32,1.9007
YELLOW,39.50487265,-84.73935127,33,2.0236
YELLOW,39.50730222,-84.73929226,34,2.2938
YELLOW,39.50832452,-84.73931372,35,2.40749
YELLOW,39.50939646,-84.73928154,36,2.52672
YELLOW,39.5104477,-84.73925471,37,2.64364
YELLOW,39.51040631,-84.7376132,38,2.78453
YELLOW,39.5103939,-84.73612189,39,2.91248
YELLOW,39.51040631,-84.73467886,40,3.03628
YELLOW,39.51033802,-84.73200604,41,3.2657
YELLOW,39.51032354,-84.73067433,42,3.37996
YELLOW,39.50926402,-84.73066092,43,3.49777
YELLOW,39.50774094,-84.73070383,44,3.66717
YELLOW,39.50762505,-84.72631037,45,4.04431
YELLOW,39.50763333,-84.7237891,46,4.26062
